Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $
3-18-2022 05:00,FRI,5.00,-$49.96,-$4.15,$4.80,$0.00,"5,554.63",37.0,15.0,-10.41,-0.86,-$45.81,-$45.81,1103.80%,-$68.04
3-18-2022 04:00,FRI,4.00,-$35.69,-$5.35,$4.80,$0.00,"5,479.75",37.9,16.1,-7.43,-1.11,-$30.34,-$30.34,567.01%,-$22.23
4-17-2022 21:00,SUN,21.00,-$33.07,$82.76,$6.93,$0.00,"6,086.86",70.0,9.2,-4.77,11.94,-$115.83,-$115.83,-139.96%,-$625.19
2-6-2023 02:00,MON,2.00,-$32.11,-$2.33,$2.40,$0.00,"6,336.77",54.0,19.6,-13.38,-0.97,-$29.78,-$29.78,1278.11%,"-$34,169.46"
2-6-2023 01:00,MON,1.00,-$32.08,-$3.20,$2.40,$0.00,"6,342.15",55.0,19.6,-13.37,-1.33,-$28.88,-$28.88,902.50%,"-$34,139.68"
2-6-2023 03:00,MON,3.00,-$31.87,-$2.86,$2.40,$0.00,"6,340.10",51.1,19.6,-13.28,-1.19,-$29.01,-$29.01,1014.42%,"-$34,198.47"
2-6-2023 04:00,MON,4.00,-$31.86,-$2.90,$2.40,$0.00,"6,348.49",51.1,21.9,-13.28,-1.21,-$28.96,-$28.96,998.62%,"-$34,227.43"
2-6-2023 00:00,SUN,24.00,-$31.33,$0.92,$2.40,$0.00,"6,407.33",57.9,19.6,-13.06,0.38,-$32.25,-$32.25,-3505.71%,"-$34,110.80"
1-2-2023 04:00,MON,4.00,-$30.36,$4.84,$3.55,$0.00,"6,110.79",54.0,10.4,-8.55,1.36,-$35.20,-$35.20,-727.27%,"-$28,174.32"
2-6-2023 05:00,MON,5.00,-$29.21,-$2.10,$2.40,$0.00,"6,404.65",48.9,16.1,-12.17,-0.88,-$27.11,-$27.11,1290.95%,"-$34,254.54"
