Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $
2-6-2023 03:00,MON,3.00,-$31.58,$3.80,$2.40,$0.00,"8,167.20",55.9,4.6,-13.16,1.58,-$35.38,-$35.38,-931.05%,"-$13,259.40"
2-6-2023 04:00,MON,4.00,-$31.56,$4.43,$2.40,$0.00,"8,223.55",57.9,5.8,-13.15,1.85,-$35.99,-$35.99,-812.47%,"-$13,295.39"
2-6-2023 01:00,MON,1.00,-$31.52,$3.85,$2.40,$0.00,"8,428.50",55.0,3.5,-13.13,1.60,-$35.37,-$35.37,-918.77%,"-$13,188.64"
2-6-2023 02:00,MON,2.00,-$31.52,$3.86,$2.40,$0.00,"8,232.13",55.9,3.5,-13.13,1.61,-$35.38,-$35.38,-916.65%,"-$13,224.02"
1-2-2023 04:00,MON,4.00,-$30.36,$3.71,$3.55,$0.00,"8,532.96",73.0,9.2,-8.55,1.05,-$34.07,-$34.07,-918.33%,"-$10,112.32"
2-6-2023 00:00,SUN,24.00,-$30.32,$10.49,$2.40,$0.00,"8,853.34",59.0,3.5,-12.63,4.37,-$40.81,-$40.81,-389.04%,"-$13,153.27"
2-6-2023 05:00,MON,5.00,-$28.16,$5.66,$2.40,$0.00,"8,464.97",57.9,4.6,-11.73,2.36,-$33.82,-$33.82,-597.53%,"-$13,329.21"
1-2-2023 05:00,MON,5.00,-$27.27,$7.35,$3.55,$0.00,"8,584.18",73.0,10.4,-7.68,2.07,-$34.62,-$34.62,-470.95%,"-$10,146.93"
3-16-2023 04:00,THU,4.00,-$26.86,$2.35,$2.44,$0.00,"9,126.40",64.0,10.4,-11.01,0.96,-$29.21,-$29.21,-1242.98%,"-$13,823.05"
1-2-2023 03:00,MON,3.00,-$26.08,$3.83,$3.55,$0.00,"8,567.40",73.0,11.5,-7.35,1.08,-$29.91,-$29.91,-780.94%,"-$10,078.25"
4-10-2022 04:00,SUN,4.00,-$23.23,$5.26,$6.30,$0.00,"8,900.16",64.9,8.1,-3.69,0.83,-$28.49,-$28.49,-541.63%,-$832.25
3-16-2023 03:00,THU,3.00,-$22.94,$3.40,$2.44,$0.00,"9,167.64",63.0,11.5,-9.40,1.39,-$26.34,-$26.34,-774.63%,"-$13,793.84"
4-10-2022 05:00,SUN,5.00,-$22.91,$7.09,$6.30,$0.00,"8,862.81",66.0,6.9,-3.64,1.13,-$30.00,-$30.00,-423.10%,-$862.25
2-2-2023 08:00,THU,8.00,-$20.98,$70.88,$2.66,$0.00,"12,975.71",39.0,9.2,-7.89,26.65,-$91.86,-$91.86,-129.60%,"-$12,441.18"
4-10-2022 06:00,SUN,6.00,-$19.40,$7.99,$6.30,$0.00,"8,903.28",66.0,10.4,-3.08,1.27,-$27.39,-$27.39,-342.80%,-$889.64
4-10-2022 03:00,SUN,3.00,-$17.31,$8.01,$6.30,$0.00,"9,111.01",66.0,9.2,-2.75,1.27,-$25.32,-$25.32,-316.04%,-$803.76
1-2-2023 02:00,MON,2.00,-$14.50,$4.98,$3.55,$0.00,"8,745.90",72.0,9.2,-4.08,1.40,-$19.48,-$19.48,-391.06%,"-$10,048.34"
