Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $
11-4-2022 20:00,FRI,20.00,-$228.74,$53.60,$4.65,$0.00,"14,454.48",54.0,17.3,-49.19,11.53,-$282.34,-$282.34,-526.75%,"-$12,634.08"
2-6-2023 03:00,MON,3.00,-$31.63,$3.49,$2.40,$0.00,"11,554.78",54.0,5.8,-13.18,1.45,-$35.12,-$35.12,-1006.38%,"-$24,948.38"
2-6-2023 04:00,MON,4.00,-$31.62,$4.06,$2.40,$0.00,"11,713.11",55.0,10.4,-13.18,1.69,-$35.68,-$35.68,-878.88%,"-$24,984.06"
2-6-2023 02:00,MON,2.00,-$31.60,$3.52,$2.40,$0.00,"11,600.66",55.9,6.9,-13.17,1.47,-$35.12,-$35.12,-997.80%,"-$24,913.26"
2-6-2023 01:00,MON,1.00,-$31.60,$3.49,$2.40,$0.00,"11,938.63",57.0,9.2,-13.17,1.45,-$35.09,-$35.09,-1005.44%,"-$24,878.13"
2-6-2023 00:00,SUN,24.00,-$30.48,$10.00,$2.40,$0.00,"12,521.20",59.0,11.5,-12.70,4.17,-$40.48,-$40.48,-404.78%,"-$24,843.04"
1-2-2023 04:00,MON,4.00,-$30.36,$4.43,$3.55,$0.00,"10,392.70",64.0,8.1,-8.55,1.25,-$34.79,-$34.79,-785.33%,"-$22,517.01"
2-6-2023 05:00,MON,5.00,-$28.31,$5.22,$2.40,$0.00,"12,201.34",53.1,8.1,-11.80,2.18,-$33.53,-$33.53,-642.39%,"-$25,017.59"
1-2-2023 05:00,MON,5.00,-$27.27,$7.79,$3.55,$0.00,"10,432.71",64.0,6.9,-7.68,2.19,-$35.06,-$35.06,-450.00%,"-$22,552.06"
3-16-2023 04:00,THU,4.00,-$27.03,$1.83,$2.44,$0.00,"11,151.72",60.1,13.8,-11.08,0.75,-$28.86,-$28.86,-1576.78%,"-$25,669.74"
1-2-2023 03:00,MON,3.00,-$26.08,$4.52,$3.55,$0.00,"10,566.33",64.0,9.2,-7.35,1.27,-$30.60,-$30.60,-676.99%,"-$22,482.22"
3-16-2023 03:00,THU,3.00,-$24.12,$2.77,$2.44,$0.00,"11,220.15",60.1,12.7,-9.89,1.14,-$26.89,-$26.89,-970.85%,"-$25,640.88"
4-10-2022 04:00,SUN,4.00,-$23.04,$2.37,$6.30,$0.00,"10,145.78",64.9,15.0,-3.66,0.38,-$25.41,-$25.41,-1072.05%,"-$1,601.05"
4-10-2022 05:00,SUN,5.00,-$22.71,$2.84,$6.30,$0.00,"10,046.81",64.0,16.1,-3.60,0.45,-$25.55,-$25.55,-899.65%,"-$1,626.60"
4-10-2022 06:00,SUN,6.00,-$19.14,$3.36,$6.30,$0.00,"10,112.66",62.1,15.0,-3.04,0.53,-$22.50,-$22.50,-669.64%,"-$1,649.10"
