Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $
11-4-2022 20:00,FRI,20.00,-$173.18,$51.11,$4.65,$0.00,"14,576.63",66.0,6.9,-37.24,10.99,-$224.29,-$224.29,-438.84%,"-$10,679.66"
2-6-2023 03:00,MON,3.00,-$31.56,$3.11,$2.40,$0.00,"8,632.60",57.9,10.4,-13.15,1.30,-$34.67,-$34.67,-1114.63%,"-$23,264.25"
2-6-2023 04:00,MON,4.00,-$31.54,$3.62,$2.40,$0.00,"8,661.41",59.0,11.5,-13.14,1.51,-$35.16,-$35.16,-971.13%,"-$23,299.40"
2-6-2023 01:00,MON,1.00,-$31.50,$3.05,$2.40,$0.00,"9,071.52",55.0,5.8,-13.12,1.27,-$34.55,-$34.55,-1132.62%,"-$23,194.94"
2-6-2023 02:00,MON,2.00,-$31.49,$3.16,$2.40,$0.00,"8,785.21",57.0,6.9,-13.12,1.32,-$34.65,-$34.65,-1096.36%,"-$23,229.58"
1-2-2023 04:00,MON,4.00,-$30.36,$3.30,$3.55,$0.00,"8,981.54",70.0,10.4,-8.55,0.93,-$33.66,-$33.66,-1020.00%,"-$20,732.31"
2-6-2023 00:00,SUN,24.00,-$30.25,$9.32,$2.40,$0.00,"9,635.61",54.0,6.9,-12.60,3.88,-$39.57,-$39.57,-424.52%,"-$23,160.39"
2-6-2023 05:00,MON,5.00,-$28.06,$4.83,$2.40,$0.00,"8,842.03",59.0,11.5,-11.69,2.01,-$32.89,-$32.89,-680.85%,"-$23,332.29"
1-2-2023 05:00,MON,5.00,-$27.27,$6.58,$3.55,$0.00,"9,032.96",70.0,10.4,-7.68,1.85,-$33.85,-$33.85,-514.36%,"-$20,766.15"
3-16-2023 04:00,THU,4.00,-$27.08,$1.04,$2.44,$0.00,"9,295.35",63.0,10.4,-11.10,0.43,-$28.12,-$28.12,-2703.85%,"-$23,895.00"
1-2-2023 03:00,MON,3.00,-$26.08,$3.36,$3.55,$0.00,"9,160.19",70.0,13.8,-7.35,0.95,-$29.44,-$29.44,-876.19%,"-$20,698.65"
3-16-2023 03:00,THU,3.00,-$23.91,$1.90,$2.44,$0.00,"9,416.79",63.0,13.8,-9.80,0.78,-$25.81,-$25.81,-1358.42%,"-$23,866.88"
4-10-2022 04:00,SUN,4.00,-$23.29,$1.55,$6.30,$0.00,"8,489.85",55.9,4.6,-3.70,0.25,-$24.84,-$24.84,-1602.42%,-$429.54
4-10-2022 05:00,SUN,5.00,-$22.96,$2.16,$6.30,$0.00,"8,384.33",54.0,5.8,-3.64,0.34,-$25.12,-$25.12,-1162.85%,-$454.66
4-10-2022 06:00,SUN,6.00,-$19.41,$2.65,$6.30,$0.00,"8,385.28",53.1,6.9,-3.08,0.42,-$22.06,-$22.06,-832.45%,-$476.72
4-10-2022 03:00,SUN,3.00,-$17.40,$2.20,$6.30,$0.00,"8,731.55",60.1,8.1,-2.76,0.35,-$19.60,-$19.60,-890.68%,-$404.71
1-2-2023 02:00,MON,2.00,-$14.50,$4.24,$3.55,$0.00,"9,409.45",70.0,10.4,-4.08,1.19,-$18.74,-$18.74,-441.86%,"-$20,669.21"
2-5-2023 23:00,SUN,23.00,-$12.40,$10.79,$2.40,$0.00,"10,269.88",53.1,6.9,-5.17,4.50,-$23.19,-$23.19,-214.94%,"-$23,120.83"
1-12-2023 02:00,THU,2.00,-$11.18,$7.03,$3.35,$0.00,"9,240.14",64.9,5.8,-3.34,2.10,-$18.21,-$18.21,-258.96%,"-$21,380.75"
12-26-2022 14:00,MON,14.00,-$9.56,$23.46,$6.56,$0.00,"11,001.16",57.9,3.5,-1.46,3.58,-$33.02,-$33.02,-140.75%,"-$19,604.80"
