Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $
4-26-2022 11:00,TUE,11.00,-$37.85,$42.19,$6.40,$0.00,"5,464.57",62.1,12.7,-5.91,6.59,-$80.04,-$80.04,-189.71%,"-$3,602.10"
2-6-2023 03:00,MON,3.00,-$31.14,$0.00,$2.40,$0.00,"6,340.10",53.1,12.0,-12.97,0.00,-$31.14,-$31.14,,"-$25,248.81"
2-6-2023 01:00,MON,1.00,-$31.06,-$0.56,$2.40,$0.00,"6,342.15",55.0,10.0,-12.94,-0.23,-$30.50,-$30.50,5445.98%,"-$25,186.33"
2-6-2023 02:00,MON,2.00,-$30.99,$0.35,$2.40,$0.00,"6,336.77",55.9,11.0,-12.91,0.15,-$31.34,-$31.34,-8955.00%,"-$25,217.67"
2-6-2023 04:00,MON,4.00,-$30.97,$0.03,$2.40,$0.00,"6,348.49",54.0,13.0,-12.90,0.01,-$31.00,-$31.00,-103333.33%,"-$25,279.81"
1-2-2023 04:00,MON,4.00,-$30.36,$3.92,$3.55,$0.00,"6,110.79",57.9,8.1,-8.55,1.10,-$34.28,-$34.28,-874.49%,"-$22,786.70"
2-6-2023 00:00,SUN,24.00,-$29.11,$2.85,$2.40,$0.00,"6,407.33",54.0,9.0,-12.13,1.19,-$31.96,-$31.96,-1121.40%,"-$25,155.83"
3-16-2023 04:00,THU,4.00,-$27.45,-$3.25,$2.44,$0.00,"6,505.69",64.9,24.2,-11.25,-1.33,-$24.20,-$24.20,744.62%,"-$26,292.57"
1-2-2023 05:00,MON,5.00,-$27.27,$7.42,$3.55,$0.00,"6,156.12",62.1,12.7,-7.68,2.09,-$34.69,-$34.69,-467.45%,"-$22,821.39"
2-6-2023 05:00,MON,5.00,-$26.34,$1.00,$2.40,$0.00,"6,404.65",48.9,13.0,-10.97,0.42,-$27.34,-$27.34,-2733.75%,"-$25,307.15"
1-2-2023 03:00,MON,3.00,-$26.08,$3.89,$3.55,$0.00,"6,068.51",57.9,5.8,-7.35,1.10,-$29.97,-$29.97,-770.44%,"-$22,752.42"
3-16-2023 03:00,THU,3.00,-$26.04,-$3.26,$2.44,$0.00,"6,495.72",64.9,23.0,-10.67,-1.34,-$22.78,-$22.78,698.77%,"-$26,268.37"
3-15-2023 18:00,WED,18.00,-$25.14,-$3.70,$2.63,$0.00,"6,814.00",69.1,19.6,-9.56,-1.41,-$21.44,-$21.44,579.46%,"-$26,113.23"
4-12-2022 03:00,TUE,3.00,-$23.95,$16.99,$6.36,$0.00,"5,549.06",73.0,18.4,-3.77,2.67,-$40.94,-$40.94,-240.97%,$747.70
4-12-2022 04:00,TUE,4.00,-$23.70,$17.98,$6.36,$0.00,"5,521.61",71.1,17.3,-3.73,2.83,-$41.68,-$41.68,-231.83%,$706.02
11-3-2022 00:00,WED,24.00,-$23.28,$4.57,$4.46,-$0.05,"6,436.41",63.0,11.5,-5.22,1.02,-$27.85,-$27.85,-609.35%,"-$13,745.05"
4-10-2022 04:00,SUN,4.00,-$22.92,-$1.93,$6.30,$0.00,"5,458.44",68.0,20.7,-3.64,-0.31,-$20.99,-$20.99,1087.31%,-$341.68
4-10-2022 05:00,SUN,5.00,-$22.53,-$1.32,$6.30,$0.00,"5,439.17",66.0,24.2,-3.58,-0.21,-$21.21,-$21.21,1606.82%,-$362.89
3-15-2023 17:00,WED,17.00,-$22.21,-$3.53,$2.63,$0.00,"6,902.05",70.0,23.0,-8.44,-1.34,-$18.68,-$18.68,529.04%,"-$26,091.79"
4-12-2022 02:00,TUE,2.00,-$22.10,$24.58,$6.36,$0.00,"5,643.53",75.0,13.8,-3.47,3.86,-$46.68,-$46.68,-189.89%,$788.64
3-15-2023 16:00,WED,16.00,-$22.08,-$4.51,$2.63,$0.00,"6,805.57",71.1,26.5,-8.39,-1.71,-$17.57,-$17.57,389.52%,"-$26,073.12"
3-16-2023 00:00,WED,24.00,-$21.80,$1.94,$2.63,$0.19,"6,628.54",66.0,18.4,-8.29,0.74,-$23.74,-$23.74,-1223.45%,"-$26,214.75"
3-15-2023 15:00,WED,15.00,-$21.50,-$4.70,$2.63,$0.00,"6,763.54",69.1,23.0,-8.17,-1.79,-$16.80,-$16.80,357.45%,"-$26,055.55"
11-3-2022 01:00,THU,1.00,-$21.21,-$3.01,$4.51,$0.00,"6,221.73",64.9,12.7,-4.70,-0.67,-$18.20,-$18.20,604.57%,"-$13,763.25"
3-15-2023 13:00,WED,13.00,-$21.13,-$2.93,$2.63,$0.00,"6,801.58",68.0,24.2,-8.03,-1.11,-$18.20,-$18.20,621.16%,"-$26,021.50"
3-15-2023 14:00,WED,14.00,-$20.64,-$3.39,$2.63,$0.00,"6,777.46",70.0,27.6,-7.85,-1.29,-$17.25,-$17.25,508.78%,"-$26,038.75"
4-15-2022 02:00,FRI,2.00,-$19.47,-$2.89,$6.93,$0.00,"5,616.27",70.0,10.4,-2.81,-0.42,-$16.58,-$16.58,573.53%,"-$1,160.67"
4-15-2022 03:00,FRI,3.00,-$19.12,-$1.16,$6.93,$0.00,"5,553.71",68.0,11.5,-2.76,-0.17,-$17.96,-$17.96,1547.84%,"-$1,178.63"
11-10-2022 03:00,THU,3.00,-$19.12,-$4.53,$3.45,$0.00,"6,160.67",68.0,12.7,-5.54,-1.31,-$14.59,-$14.59,321.96%,"-$13,713.91"
11-10-2022 02:00,THU,2.00,-$19.03,-$6.86,$3.45,$0.00,"6,231.01",68.0,10.4,-5.52,-1.99,-$12.17,-$12.17,177.37%,"-$13,699.33"
11-10-2022 01:00,THU,1.00,-$18.93,-$6.05,$3.45,$0.00,"6,296.13",69.1,10.4,-5.49,-1.75,-$12.88,-$12.88,212.89%,"-$13,687.16"
3-16-2023 01:00,THU,1.00,-$18.89,-$2.94,$2.44,$0.00,"6,580.52",66.0,20.7,-7.74,-1.20,-$15.95,-$15.95,542.60%,"-$26,230.71"
11-3-2022 02:00,THU,2.00,-$18.87,-$4.00,$4.51,$0.00,"6,125.99",66.0,15.0,-4.18,-0.89,-$14.87,-$14.87,371.63%,"-$13,778.11"
