Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $
2-2-2023 08:00,THU,8.00,-$32.00,$71.21,$2.66,$0.00,"12,975.71",43.0,13.8,-12.03,26.77,-$103.21,-$103.21,-144.93%,"-$25,504.35"
2-6-2023 03:00,MON,3.00,-$31.58,$4.34,$2.40,$0.00,"8,167.20",61.0,9.2,-13.16,1.81,-$35.92,-$35.92,-827.59%,"-$26,278.46"
2-6-2023 04:00,MON,4.00,-$31.56,$4.90,$2.40,$0.00,"8,223.55",62.1,11.5,-13.15,2.04,-$36.46,-$36.46,-744.08%,"-$26,314.92"
2-6-2023 01:00,MON,1.00,-$31.52,$4.39,$2.40,$0.00,"8,428.50",61.0,9.2,-13.13,1.83,-$35.91,-$35.91,-817.94%,"-$26,206.63"
2-6-2023 02:00,MON,2.00,-$31.51,$4.40,$2.40,$0.00,"8,232.13",61.0,9.2,-13.13,1.83,-$35.91,-$35.91,-816.19%,"-$26,242.54"
1-2-2023 04:00,MON,4.00,-$30.36,$4.13,$3.55,$0.00,"8,532.96",68.0,11.5,-8.55,1.16,-$34.49,-$34.49,-835.11%,"-$22,645.42"
2-6-2023 00:00,SUN,24.00,-$30.31,$10.52,$2.40,$0.00,"8,853.34",62.1,9.2,-12.63,4.38,-$40.83,-$40.83,-388.09%,"-$26,170.72"
2-6-2023 05:00,MON,5.00,-$28.15,$6.10,$2.40,$0.00,"8,464.97",62.1,11.5,-11.73,2.54,-$34.25,-$34.25,-561.48%,"-$26,349.17"
1-2-2023 05:00,MON,5.00,-$27.27,$8.38,$3.55,$0.00,"8,584.18",68.0,11.5,-7.68,2.36,-$35.65,-$35.65,-425.36%,"-$22,681.07"
3-16-2023 04:00,THU,4.00,-$26.93,$2.27,$2.44,$0.00,"9,126.40",69.1,16.1,-11.03,0.93,-$29.20,-$29.20,-1286.12%,"-$27,089.59"
1-2-2023 03:00,MON,3.00,-$26.08,$4.40,$3.55,$0.00,"8,567.40",68.0,13.8,-7.35,1.24,-$30.48,-$30.48,-692.73%,"-$22,610.93"
4-10-2022 04:00,SUN,4.00,-$23.25,$17.29,$6.30,$0.00,"8,900.16",71.1,19.6,-3.69,2.74,-$40.54,-$40.54,-234.47%,"-$2,313.42"
3-16-2023 03:00,THU,3.00,-$22.93,$3.32,$2.44,$0.00,"9,167.64",68.0,15.0,-9.40,1.36,-$26.25,-$26.25,-790.66%,"-$27,060.39"
4-10-2022 05:00,SUN,5.00,-$22.93,$24.61,$6.30,$0.00,"8,862.81",71.1,16.1,-3.64,3.91,-$47.54,-$47.54,-193.15%,"-$2,360.95"
