,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,DateAPIFormat,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,cloud_layer_1_code_set_1,wind_speed_set_1,relative_humidity_set_1,peak_wind_speed_set_1,air_temp_set_1,wind_direction_set_1
0,0,2023-02-06 03:00:00,6,3.0,-$31.58,$3.80,2.4,$0.00,8167.2,55.9,4.6,-13.16,1.58,-35.38,-35.38,-9.3105,"-$13,259.40",2023-02-06,03:00:00,2023,2,20230206,02/06/2023 03:00:00,2023-02-06 03:00:00-08:00,,,101602.66,0,2.058,100.0,,14.0,160.0
1,1,2023-02-06 04:00:00,6,4.0,-$31.56,$4.43,2.4,$0.00,8223.55,57.9,5.8,-13.15,1.85,-35.99,-35.99,-8.1247,"-$13,295.39",2023-02-06,04:00:00,2023,2,20230206,02/06/2023 04:00:00,2023-02-06 04:00:00-08:00,,mist,101602.66,0,2.572,100.0,,13.0,150.0
2,2,2023-02-06 01:00:00,6,1.0,-$31.52,$3.85,2.4,$0.00,8428.5,55.0,3.5,-13.13,1.6,-35.37,-35.37,-9.1877,"-$13,188.64",2023-02-06,01:00:00,2023,2,20230206,02/06/2023 01:00:00,2023-02-06 01:00:00-08:00,,,101636.42,0,2.058,93.7,,14.0,160.0
3,3,2023-02-06 02:00:00,6,2.0,-$31.52,$3.86,2.4,$0.00,8232.13,55.9,3.5,-13.13,1.61,-35.38,-35.38,-9.1665,"-$13,224.02",2023-02-06,02:00:00,2023,2,20230206,02/06/2023 02:00:00,2023-02-06 02:00:00-08:00,,,101568.91,0,2.572,100.0,,14.0,170.0
4,4,2023-01-02 04:00:00,2,4.0,-$30.36,$3.71,3.55,$0.00,8532.96,73.0,9.2,-8.55,1.05,-34.07,-34.07,-9.183300000000001,"-$10,112.32",2023-01-02,04:00:00,2023,1,20230102,01/02/2023 04:00:00,2023-01-02 04:00:00-08:00,,,100860.05,0,2.572,94.07,,22.0,160.0
5,5,2023-02-06 00:00:00,6,24.0,-$30.32,$10.49,2.4,$0.00,8853.34,59.0,3.5,-12.63,4.37,-40.81,-40.81,-3.8904,"-$13,153.27",2023-02-06,00:00:00,2023,2,20230206,02/06/2023 00:00:00,2023-02-06 00:00:00-08:00,,,101670.17,0,0.0,100.0,,13.0,0.0
6,6,2023-02-06 05:00:00,6,5.0,-$28.16,$5.66,2.4,$0.00,8464.97,57.9,4.6,-11.73,2.36,-33.82,-33.82,-5.9753,"-$13,329.21",2023-02-06,05:00:00,2023,2,20230206,02/06/2023 05:00:00,2023-02-06 05:00:00-08:00,,"fog,mist",101670.17,0,2.058,100.0,,10.0,150.0
7,7,2023-01-02 05:00:00,2,5.0,-$27.27,$7.35,3.55,$0.00,8584.18,73.0,10.4,-7.68,2.07,-34.62,-34.62,-4.7095,"-$10,146.93",2023-01-02,05:00:00,2023,1,20230102,01/02/2023 05:00:00,2023-01-02 05:00:00-08:00,,,100893.81,0,5.659,94.12,,23.0,160.0
8,8,2023-03-16 04:00:00,16,4.0,-$26.86,$2.35,2.44,$0.00,9126.4,64.0,10.4,-11.01,0.96,-29.21,-29.21,-12.4298,"-$13,823.05",2023-03-16,04:00:00,2023,3,20230316,03/16/2023 04:00:00,2023-03-16 04:00:00-07:00,,,101062.58,0,2.572,88.11,,18.0,170.0
9,9,2023-01-02 03:00:00,2,3.0,-$26.08,$3.83,3.55,$0.00,8567.4,73.0,11.5,-7.35,1.08,-29.91,-29.91,-7.8094,"-$10,078.25",2023-01-02,03:00:00,2023,1,20230102,01/02/2023 03:00:00,2023-01-02 03:00:00-08:00,,,100860.05,0,5.144,94.12,,23.0,150.0
10,10,2022-04-10 04:00:00,10,4.0,-$23.23,$5.26,6.3,$0.00,8900.16,64.9,8.1,-3.69,0.83,-28.49,-28.49,-5.4163,-$832.25,2022-04-10,04:00:00,2022,4,20220410,04/10/2022 04:00:00,2022-04-10 04:00:00-07:00,,,100927.56,0,4.63,72.78,,19.0,160.0
11,11,2023-03-16 03:00:00,16,3.0,-$22.94,$3.40,2.44,$0.00,9167.64,63.0,11.5,-9.4,1.39,-26.34,-26.34,-7.7463,"-$13,793.84",2023-03-16,03:00:00,2023,3,20230316,03/16/2023 03:00:00,2023-03-16 03:00:00-07:00,,,101028.83,0,5.144,82.65,,18.0,150.0
12,12,2022-04-10 05:00:00,10,5.0,-$22.91,$7.09,6.3,$0.00,8862.81,66.0,6.9,-3.64,1.13,-30.0,-30.0,-4.231,-$862.25,2022-04-10,05:00:00,2022,4,20220410,04/10/2022 05:00:00,2022-04-10 05:00:00-07:00,,,100961.32,0,4.116,77.64,,19.0,170.0
13,13,2023-02-02 08:00:00,2,8.0,-$20.98,$70.88,2.66,$0.00,12975.71,39.0,9.2,-7.89,26.65,-91.86,-91.86,-1.296,"-$12,441.18",2023-02-02,08:00:00,2023,2,20230202,02/02/2023 08:00:00,2023-02-02 08:00:00-08:00,,"light rain,mist",102075.23,0,4.63,93.19,,4.0,330.0
14,14,2022-04-10 06:00:00,10,6.0,-$19.40,$7.99,6.3,$0.00,8903.28,66.0,10.4,-3.08,1.27,-27.39,-27.39,-3.428,-$889.64,2022-04-10,06:00:00,2022,4,20220410,04/10/2022 06:00:00,2022-04-10 06:00:00-07:00,7.717,,100961.32,0,5.144,77.79,,20.0,170.0
15,15,2022-04-10 03:00:00,10,3.0,-$17.31,$8.01,6.3,$0.00,9111.01,66.0,9.2,-2.75,1.27,-25.32,-25.32,-3.1604,-$803.76,2022-04-10,03:00:00,2022,4,20220410,04/10/2022 03:00:00,2022-04-10 03:00:00-07:00,,,100927.56,0,3.601,72.78,,19.0,170.0
