,Unnamed: 0,Date/Time,Day,Hour,RT Price $/MW,DA Price $/MW,Gas Price $/mmBtu,Gas Basis $/mmBtu,Load ,Temperature °F,Wind Speed MPH,RT Heat Rate ,DA Heat Rate ,Return $,Return $/MW,Return %,Cum. Return $,Dates,Time,Year,Month,Date,DateAPIFormat,Sunrise,Sunset,Day_Length,dateJoinFormat,date_time,wind_gust_set_1,weather_condition_set_1d,pressure_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,peak_wind_speed_set_1,air_temp_set_1,lat,lon,validdate,direct_rad:W,solar_power:MW
0,0,2023-03-18 04:00:00,18,4,,34.52,2.41,0.0,,30.0,6.0,,14.32365145,,,,-39694.4987,2023-03-18,04:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 04:00:00,2023-03-18 04:00:00-07:00,,,89797.9,60.0,58.68,3.601,,-2.0,35.371452,-101.387665,2023-03-18 04:00:00-07:00,0.0,0.0
1,1,2023-03-18 05:00:00,18,5,,35.53,2.41,0.0,,28.0,6.0,,14.74273859,,,,-39694.4987,2023-03-18,05:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 05:00:00,2023-03-18 05:00:00-07:00,,,89886.93,20.0,68.34,3.601,,-3.0,35.371452,-101.387665,2023-03-18 05:00:00-07:00,0.0,0.0
2,2,2023-03-18 06:00:00,18,6,,40.51,2.41,0.0,,27.0,7.0,,16.80912863,,,,-39694.4987,2023-03-18,06:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 06:00:00,2023-03-18 06:00:00-07:00,,,89975.95,20.0,68.11,2.058,,-4.0,35.371452,-101.387665,2023-03-18 06:00:00-07:00,0.0,0.0
3,3,2023-03-18 07:00:00,18,7,,52.96,2.41,0.0,,27.0,8.0,,21.97510373,,,,-39694.4987,2023-03-18,07:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 07:00:00,2023-03-18 07:00:00-07:00,,,90064.98,20.0,63.45,3.601,,-2.0,35.371452,-101.387665,2023-03-18 07:00:00-07:00,123.2,0.136
4,4,2023-03-18 08:00:00,18,8,,69.27,2.41,0.0,,26.0,9.0,,28.74273859,,,,-39694.4987,2023-03-18,08:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 08:00:00,2023-03-18 08:00:00-07:00,,,90154.01,40.0,47.14,4.116,,1.0,35.371452,-101.387665,2023-03-18 08:00:00-07:00,279.3,0.345
5,5,2023-03-18 09:00:00,18,9,,69.96,2.41,0.0,,29.0,10.0,,29.02904564,,,,-39694.4987,2023-03-18,09:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 09:00:00,2023-03-18 09:00:00-07:00,,,90213.36,40.0,34.88,3.601,,3.0,35.371452,-101.387665,2023-03-18 09:00:00-07:00,442.8,0.569
6,6,2023-03-18 10:00:00,18,10,,46.87,2.41,0.0,,31.0,11.0,,19.44813278,,,,-39694.4987,2023-03-18,10:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 10:00:00,2023-03-18 10:00:00-07:00,,,90213.36,60.0,32.19,3.601,,3.0,35.371452,-101.387665,2023-03-18 10:00:00-07:00,647.4,0.782
7,7,2023-03-18 11:00:00,18,11,,31.05,2.41,0.0,,34.0,12.0,,12.88381743,,,,-39694.4987,2023-03-18,11:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 11:00:00,2023-03-18 11:00:00-07:00,,,90213.36,360.0,35.2,4.116,,4.0,35.371452,-101.387665,2023-03-18 11:00:00-07:00,711.5,0.881
8,8,2023-03-18 12:00:00,18,12,,25.04,2.41,0.0,,37.0,11.0,,10.39004149,,,,-39694.4987,2023-03-18,12:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 12:00:00,2023-03-18 12:00:00-07:00,,,90124.33,40.0,30.62,3.601,,6.0,35.371452,-101.387665,2023-03-18 12:00:00-07:00,709.9,0.899
9,9,2023-03-18 13:00:00,18,13,,20.9,2.41,0.0,,39.0,9.0,,8.67219917,,,,-39694.4987,2023-03-18,13:00:00,2023,3,03/1/223,20230318,2023-03-18 07:06:36-07:00,2023-03-19T02:12:50+00:00,43574,03/18/2023 13:00:00,2023-03-18 13:00:00-07:00,,,90064.98,,28.58,,,7.0,35.371452,-101.387665,2023-03-18 13:00:00-07:00,705.6,0.861
10,29,2023-03-15 15:00:00,15,15,-31.68,-18.32,2.63,0.0,13802.81,78.1,36.8,-12.04562738,-6.965779468,-13.36,-13.36,0.729257642,-39294.0575,2023-03-15,15:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 15:00:00,2023-03-15 15:00:00-07:00,15.433,,88225.1,240.0,19.08,12.861,,24.0,35.371452,-101.387665,2023-03-15 15:00:00-07:00,441.5,0.484
11,102,2023-02-06 01:00:00,6,1,-31.62,-2.85,2.4,0.0,11938.63,48.0,11.5,-13.175,-1.1875,-28.77,-28.77,10.09473684,-38363.825,2023-02-06,01:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 01:00:00,2023-02-06 01:00:00-08:00,,,88521.86,210.0,38.71,7.202,,6.0,35.371452,-101.387665,2023-02-06 01:00:00-08:00,0.0,0.0
12,103,2023-02-06 02:00:00,6,2,-31.6175,-1.93,2.4,0.0,11600.66,43.0,15.0,-13.17395833,-0.804166667,-29.6875,-29.6875,15.38212435,-38393.5125,2023-02-06,02:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 02:00:00,2023-02-06 02:00:00-08:00,,,88492.18,230.0,38.71,6.173,,6.0,35.371452,-101.387665,2023-02-06 02:00:00-08:00,0.0,0.0
13,107,2023-02-06 03:00:00,6,3,-31.615,-2.29,2.4,0.0,11554.78,43.0,17.3,-13.17291667,-0.954166667,-29.325,-29.325,12.80567686,-38422.8375,2023-02-06,03:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 03:00:00,2023-02-06 03:00:00-08:00,9.26,,88432.83,220.0,36.13,6.688,,7.0,35.371452,-101.387665,2023-02-06 03:00:00-08:00,0.0,0.0
14,122,2023-03-15 14:00:00,15,14,-31.6,-17.61,2.63,0.0,13991.97,75.0,28.8,-12.01520913,-6.69581749,-13.99,-13.99,0.79443498,-39280.6975,2023-03-15,14:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 14:00:00,2023-03-15 14:00:00-07:00,15.433,,88254.78,230.0,16.94,12.861,,26.0,35.371452,-101.387665,2023-03-15 14:00:00-07:00,581.4,0.659
15,129,2023-02-06 04:00:00,6,4,-31.585,-2.36,2.4,0.0,11713.11,42.1,12.7,-13.16041667,-0.983333333,-29.225,-29.225,12.38347458,-38452.0625,2023-02-06,04:00:00,2023,2,02/0/223,20230206,2023-02-06 06:54:48-08:00,2023-02-07T01:36:41+00:00,38513,02/06/2023 04:00:00,2023-02-06 04:00:00-08:00,,,88403.15,210.0,44.49,6.173,,4.0,35.371452,-101.387665,2023-02-06 04:00:00-08:00,0.0,0.0
16,231,2023-03-16 03:00:00,16,3,-30.7675,-25.73,2.44,0.0,11220.15,57.0,20.7,-12.60963115,-10.54508197,-5.0375,-5.0375,0.195783133,-39409.27,2023-03-16,03:00:00,2023,3,03/1/223,20230316,2023-03-16 07:09:23-07:00,2023-03-17T02:11:12+00:00,43309,03/16/2023 03:00:00,2023-03-16 03:00:00-07:00,,,87958.02,240.0,47.46,9.26,,14.0,35.371452,-101.387665,2023-03-16 03:00:00-07:00,0.0,0.0
17,233,2023-03-15 13:00:00,15,13,-30.74,-19.01,2.63,0.0,14284.21,71.1,25.3,-11.68821293,-7.228136882,-11.73,-11.73,0.617043661,-39266.7075,2023-03-15,13:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 13:00:00,2023-03-15 13:00:00-07:00,,,88373.48,230.0,16.94,16.462,,26.0,35.371452,-101.387665,2023-03-15 13:00:00-07:00,629.4,0.759
18,237,2023-03-15 12:00:00,15,12,-30.6775,-18.66,2.63,0.0,14742.84,64.0,20.7,-11.66444867,-7.095057034,-12.0175,-12.0175,0.644024652,-39254.9775,2023-03-15,12:00:00,2023,3,03/1/223,20230315,2023-03-15 07:10:47-07:00,2023-03-16T02:10:22+00:00,43175,03/15/2023 12:00:00,2023-03-15 12:00:00-07:00,16.462,,88492.18,220.0,20.52,12.861,,24.0,35.371452,-101.387665,2023-03-15 12:00:00-07:00,652.1,0.804
