lat,lon,validdate,direct_rad:W,solar_power:MW
35.371452,-101.387665,2022-09-24 00:00:00+00:00,46.3,0.04
35.371452,-101.387665,2022-09-24 01:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 02:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 03:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 04:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 05:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 06:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 07:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 08:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 09:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 10:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 11:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 12:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-24 13:00:00+00:00,12.2,0.01
35.371452,-101.387665,2022-09-24 14:00:00+00:00,93.2,0.116
35.371452,-101.387665,2022-09-24 15:00:00+00:00,226.6,0.294
35.371452,-101.387665,2022-09-24 16:00:00+00:00,449.7,0.534
35.371452,-101.387665,2022-09-24 17:00:00+00:00,622.1,0.707
35.371452,-101.387665,2022-09-24 18:00:00+00:00,675.9,0.778
35.371452,-101.387665,2022-09-24 19:00:00+00:00,676.0,0.781
35.371452,-101.387665,2022-09-24 20:00:00+00:00,635.6,0.717
35.371452,-101.387665,2022-09-24 21:00:00+00:00,534.9,0.587
35.371452,-101.387665,2022-09-24 22:00:00+00:00,385.9,0.405
35.371452,-101.387665,2022-09-24 23:00:00+00:00,206.0,0.204
35.371452,-101.387665,2022-09-25 00:00:00+00:00,46.0,0.041
35.371452,-101.387665,2022-09-25 01:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 02:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 03:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 04:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 05:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 06:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 07:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 08:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 09:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 10:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 11:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 12:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-25 13:00:00+00:00,17.9,0.013
35.371452,-101.387665,2022-09-25 14:00:00+00:00,171.2,0.171
35.371452,-101.387665,2022-09-25 15:00:00+00:00,361.3,0.38
35.371452,-101.387665,2022-09-25 16:00:00+00:00,531.4,0.58
35.371452,-101.387665,2022-09-25 17:00:00+00:00,659.2,0.728
35.371452,-101.387665,2022-09-25 18:00:00+00:00,732.0,0.807
35.371452,-101.387665,2022-09-25 19:00:00+00:00,740.8,0.812
35.371452,-101.387665,2022-09-25 20:00:00+00:00,684.3,0.747
35.371452,-101.387665,2022-09-25 21:00:00+00:00,569.3,0.613
35.371452,-101.387665,2022-09-25 22:00:00+00:00,407.4,0.423
35.371452,-101.387665,2022-09-25 23:00:00+00:00,218.2,0.215
35.371452,-101.387665,2022-09-26 00:00:00+00:00,46.6,0.042
35.371452,-101.387665,2022-09-26 01:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 02:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 03:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 04:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 05:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 06:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 07:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 08:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 09:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 10:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 11:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 12:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-26 13:00:00+00:00,16.8,0.013
35.371452,-101.387665,2022-09-26 14:00:00+00:00,167.5,0.171
35.371452,-101.387665,2022-09-26 15:00:00+00:00,355.5,0.379
35.371452,-101.387665,2022-09-26 16:00:00+00:00,524.1,0.577
35.371452,-101.387665,2022-09-26 17:00:00+00:00,649.4,0.724
35.371452,-101.387665,2022-09-26 18:00:00+00:00,717.9,0.8
35.371452,-101.387665,2022-09-26 19:00:00+00:00,724.6,0.804
35.371452,-101.387665,2022-09-26 20:00:00+00:00,669.5,0.738
35.371452,-101.387665,2022-09-26 21:00:00+00:00,556.4,0.603
35.371452,-101.387665,2022-09-26 22:00:00+00:00,396.6,0.414
35.371452,-101.387665,2022-09-26 23:00:00+00:00,210.0,0.208
35.371452,-101.387665,2022-09-27 00:00:00+00:00,42.4,0.038
35.371452,-101.387665,2022-09-27 01:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 02:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 03:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 04:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 05:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 06:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 07:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 08:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 09:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 10:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 11:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 12:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-27 13:00:00+00:00,15.9,0.012
35.371452,-101.387665,2022-09-27 14:00:00+00:00,164.3,0.167
35.371452,-101.387665,2022-09-27 15:00:00+00:00,351.4,0.371
35.371452,-101.387665,2022-09-27 16:00:00+00:00,520.0,0.565
35.371452,-101.387665,2022-09-27 17:00:00+00:00,646.4,0.709
35.371452,-101.387665,2022-09-27 18:00:00+00:00,716.9,0.785
35.371452,-101.387665,2022-09-27 19:00:00+00:00,719.7,0.787
35.371452,-101.387665,2022-09-27 20:00:00+00:00,654.7,0.717
35.371452,-101.387665,2022-09-27 21:00:00+00:00,544.6,0.586
35.371452,-101.387665,2022-09-27 22:00:00+00:00,392.4,0.405
35.371452,-101.387665,2022-09-27 23:00:00+00:00,206.6,0.203
35.371452,-101.387665,2022-09-28 00:00:00+00:00,40.0,0.036
35.371452,-101.387665,2022-09-28 01:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 02:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 03:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 04:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 05:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 06:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 07:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 08:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 09:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 10:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 11:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 12:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-28 13:00:00+00:00,15.2,0.011
35.371452,-101.387665,2022-09-28 14:00:00+00:00,163.2,0.167
35.371452,-101.387665,2022-09-28 15:00:00+00:00,350.9,0.371
35.371452,-101.387665,2022-09-28 16:00:00+00:00,519.2,0.566
35.371452,-101.387665,2022-09-28 17:00:00+00:00,644.1,0.71
35.371452,-101.387665,2022-09-28 18:00:00+00:00,714.0,0.785
35.371452,-101.387665,2022-09-28 19:00:00+00:00,720.8,0.79
35.371452,-101.387665,2022-09-28 20:00:00+00:00,657.6,0.72
35.371452,-101.387665,2022-09-28 21:00:00+00:00,533.8,0.581
35.371452,-101.387665,2022-09-28 22:00:00+00:00,378.3,0.397
35.371452,-101.387665,2022-09-28 23:00:00+00:00,197.6,0.197
35.371452,-101.387665,2022-09-29 00:00:00+00:00,35.4,0.033
35.371452,-101.387665,2022-09-29 01:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 02:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 03:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 04:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 05:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 06:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 07:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 08:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 09:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 10:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 11:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 12:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-29 13:00:00+00:00,11.9,0.01
35.371452,-101.387665,2022-09-29 14:00:00+00:00,152.9,0.161
35.371452,-101.387665,2022-09-29 15:00:00+00:00,345.8,0.368
35.371452,-101.387665,2022-09-29 16:00:00+00:00,514.5,0.562
35.371452,-101.387665,2022-09-29 17:00:00+00:00,639.5,0.704
35.371452,-101.387665,2022-09-29 18:00:00+00:00,696.5,0.77
35.371452,-101.387665,2022-09-29 19:00:00+00:00,630.0,0.727
35.371452,-101.387665,2022-09-29 20:00:00+00:00,562.2,0.658
35.371452,-101.387665,2022-09-29 21:00:00+00:00,517.4,0.571
35.371452,-101.387665,2022-09-29 22:00:00+00:00,384.1,0.4
35.371452,-101.387665,2022-09-29 23:00:00+00:00,186.6,0.189
35.371452,-101.387665,2022-09-30 00:00:00+00:00,26.7,0.027
35.371452,-101.387665,2022-09-30 01:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-30 02:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-30 03:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-30 04:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-30 05:00:00+00:00,0.0,0.0
35.371452,-101.387665,2022-09-30 06:00:00+00:00,0.0,0.0
